,index,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version
0,2830,CEsDXKwum3PBh1b8tt9F42EsG2zgbFXCNwCudjTpVDxf,10000.0,3BjsntftfwXMfxGH8VrK7JqVSmKs3pxgHxZzsvau7Pq7,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/oWaoGB2YTOfCLAOCdewMlJQGYJ4hkjPaENBub47Awvs?ext=jpeg,Galactic Gecko #196,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Barada', 'trait_count': 2450}, {'trait_type': 'Body', 'value': 'Ghostly White', 'trait_count': 345}, {'trait_type': 'Armor', 'value': 'Autonomous Carapace', 'trait_count': 141}, {'trait_type': 'Mouth', 'value': 'Fanged', 'trait_count': 863}, {'trait_type': 'Helmet', 'value': 'Space Scraps', 'trait_count': 249}, {'trait_type': 'Eyes', 'value': 'Orbital Retinas', 'trait_count': 298}, {'trait_type': 'Attribute Count', 'value': 6, 'max_value': 7, 'trait_count': 3040}]","{'files': [{'uri': 'https://www.arweave.net/oWaoGB2YTOfCLAOCdewMlJQGYJ4hkjPaENBub47Awvs?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
2,2829,8EDSHD9CS9xQPmmYxRDZGAFHvHQCKmRZdpabtXEGF5hF,3000.0,8Qf78Mk1swwsmEzEPcTHDEGhSYchjT74NTYgCsQW5CNP,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/02JB4diejafbKoa_98Z5Ej8aBEi8xrrcp4v_XYgi_8Q?ext=jpeg,Galactic Gecko #7865,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Targari', 'trait_count': 2503}, {'trait_type': 'Body', 'value': 'Lime', 'trait_count': 1213}, {'trait_type': 'Armor', 'value': 'Martian Tunic', 'trait_count': 148}, {'trait_type': 'Mouth', 'value': 'Pensive', 'trait_count': 2593}, {'trait_type': 'Helmet', 'value': 'Gibbous Blaster', 'trait_count': 269}, {'trait_type': 'Eyes', 'value': 'Augmented Surveyor', 'trait_count': 280}, {'trait_type': 'Attribute Count', 'value': 6, 'max_value': 7, 'trait_count': 3040}]","{'files': [{'uri': 'https://www.arweave.net/02JB4diejafbKoa_98Z5Ej8aBEi8xrrcp4v_XYgi_8Q?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
1,2828,DhwtneM46kxTSbqaVbkzdayxwcsjQwnkwYUTG5gzAb4W,3000.0,DK1Qf2qpKeJdbgrnVDiMukyG3RBKF91REG8GXc2xHLVL,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/VtiRdPenosFB4iNwdFo01baZetqWBKqwDM77960Alrg?ext=jpeg,Galactic Gecko #9262,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Targari', 'trait_count': 2503}, {'trait_type': 'Attribute Count', 'value': 1, 'max_value': 7, 'trait_count': 4}]","{'files': [{'uri': 'https://www.arweave.net/VtiRdPenosFB4iNwdFo01baZetqWBKqwDM77960Alrg?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
3,2827,AUFchxCNn9uwZ512aQHF8xedwAiVxKCi2KLrBY68AFru,2500.0,4cLzduP6b9LCALYS2bk8KSe7Tbc72fagjccrXtYNyJ5o,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/DKNwp2W97CUDgRzgPqJUT00FEFuQRrEFKB2XWc9D2bY?ext=jpeg,Galactic Gecko #1303,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Targari', 'trait_count': 2503}, {'trait_type': 'Body', 'value': 'Spectral Black', 'trait_count': 351}, {'trait_type': 'Mouth', 'value': 'Pleased', 'trait_count': 2626}, {'trait_type': 'Eyes', 'value': 'Laser Sight', 'trait_count': 278}, {'trait_type': 'Attribute Count', 'value': 4, 'max_value': 7, 'trait_count': 1066}]","{'files': [{'uri': 'https://www.arweave.net/DKNwp2W97CUDgRzgPqJUT00FEFuQRrEFKB2XWc9D2bY?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
4,2826,8L9kFMmRUenzXy1pYzq9ZMehhW82cYZvKrRVvvWX1ELD,2500.0,E4EgwkVQ8UDdQNhg1Lu3owybheW26rG7zHAFq6153bpV,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/29_NlM5sBAcM15ApxrQRnQPtzLrOZSYbg5WbBkhILc8?ext=jpeg,Galactic Gecko #2806,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Barada', 'trait_count': 2450}, {'trait_type': 'Body', 'value': 'Brick', 'trait_count': 1298}, {'trait_type': 'Mouth', 'value': 'Toothy', 'trait_count': 843}, {'trait_type': 'Eyes', 'value': 'Haunting Slits', 'trait_count': 294}, {'trait_type': 'Attribute Count', 'value': 4, 'max_value': 7, 'trait_count': 1066}]","{'files': [{'uri': 'https://www.arweave.net/29_NlM5sBAcM15ApxrQRnQPtzLrOZSYbg5WbBkhILc8?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
5,2825,2csZBpExKk4pyCxegRcBDobejpns1LVWwwptpRffcRGH,2000.0,5hhjM4uLrGZrf9jLvSS9Vkw5o6TH7NnRTYZCKvWpb5qz,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/3H_aAlO1QsEcf8kwtZMKFCZ6-Rm_wrhTgK2YVsVEiLc?ext=jpeg,Galactic Gecko #5546,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Targari', 'trait_count': 2503}, {'trait_type': 'Body', 'value': 'Lime', 'trait_count': 1213}, {'trait_type': 'Mouth', 'value': 'Pensive', 'trait_count': 2593}, {'trait_type': 'Eyes', 'value': 'Sullen Eyes', 'trait_count': 292}, {'trait_type': 'Attribute Count', 'value': 4, 'max_value': 7, 'trait_count': 1066}]","{'files': [{'uri': 'https://www.arweave.net/3H_aAlO1QsEcf8kwtZMKFCZ6-Rm_wrhTgK2YVsVEiLc?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
6,2824,HFErB7xwZDXyyoZs93UW7b1TiL5qeDXi6Z6M1u9iLe8s,1750.0,91Wuqdn5v3RW6E78XiZs1zdkYg8Xdop9LDcsp7Yefkt7,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/n_jpROn91gEiXyDxy1--lfRBP5FqRoJCTkX3rcbazAc?ext=jpeg,Galactic Gecko #1107,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Barada', 'trait_count': 2450}, {'trait_type': 'Body', 'value': 'Spectral Black', 'trait_count': 351}, {'trait_type': 'Armor', 'value': 'Miniature Companions', 'trait_count': 203}, {'trait_type': 'Mouth', 'value': 'Excited', 'trait_count': 308}, {'trait_type': 'Helmet', 'value': 'Viral Intruder', 'trait_count': 302}, {'trait_type': 'Ears', 'value': 'Ionic Flux Inhibitor', 'trait_count': 263}, {'trait_type': 'Eyes', 'value': 'Ionic Disruptors', 'trait_count': 234}, {'trait_type': 'Attribute Count', 'value': 7, 'max_value': 7, 'trait_count': 3863}]","{'files': [{'uri': 'https://www.arweave.net/n_jpROn91gEiXyDxy1--lfRBP5FqRoJCTkX3rcbazAc?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
7,2823,2xe4DUnEuX5qTQh2BBJ7XAad8nMhCjSy4LL2fTVRJ9CG,1500.0,4cLzduP6b9LCALYS2bk8KSe7Tbc72fagjccrXtYNyJ5o,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/jJft7daQClZ-JMV26ikCHAWDhz3Bl8sfbBmcsy4w9_U?ext=jpeg,Galactic Gecko #4194,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Barada', 'trait_count': 2450}, {'trait_type': 'Body', 'value': 'Brick', 'trait_count': 1298}, {'trait_type': 'Mouth', 'value': 'Toothy', 'trait_count': 843}, {'trait_type': 'Eyes', 'value': 'Sun Beams', 'trait_count': 325}, {'trait_type': 'Attribute Count', 'value': 4, 'max_value': 7, 'trait_count': 1066}]","{'files': [{'uri': 'https://www.arweave.net/jJft7daQClZ-JMV26ikCHAWDhz3Bl8sfbBmcsy4w9_U?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
8,2822,6r8gjuqwNq1UA7GvnDEhAKGBQ1WHoVif1479Qbeoybij,1500.0,25D95tjcDrhfGwnRieDokuLxAkpNZpeyonswcxoB5iMJ,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/09PRBHIjYWmO333IXnYv1kbmwjN_Bfrm7dEjL-FpKdg?ext=jpeg,Galactic Gecko #140,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Targari', 'trait_count': 2503}, {'trait_type': 'Body', 'value': 'Light Pink', 'trait_count': 1290}, {'trait_type': 'Armor', 'value': 'Distinguished Shirting', 'trait_count': 166}, {'trait_type': 'Mouth', 'value': 'Augmented', 'trait_count': 301}, {'trait_type': 'Eyes', 'value': 'Deluxe Shutters', 'trait_count': 286}, {'trait_type': 'Attribute Count', 'value': 5, 'max_value': 7, 'trait_count': 2027}]","{'files': [{'uri': 'https://www.arweave.net/09PRBHIjYWmO333IXnYv1kbmwjN_Bfrm7dEjL-FpKdg?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
13,2821,CTg4t14VaYHPuD7uMJuFphbkReMYJCPcYk6i5hqcpgQZ,1000.0,G8qjGRCgNofmkVWtCcAcKFdJLUchze53C4c8ujkXFtrh,galactic_geckos,GGSG: Galactic Geckos,https://www.arweave.net/mvrZvgWaI7mJFV60oOKlfj7a1kmZNyB2LGgbiuN-qY8?ext=jpeg,Galactic Gecko #6050,image,"[{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'verified': 1, 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'verified': 0, 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'verified': 0, 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'verified': 0, 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'verified': 0, 'share': 6}]","[{'trait_type': 'Faction', 'value': 'Alura', 'trait_count': 2549}, {'trait_type': 'Body', 'value': 'Brick', 'trait_count': 1298}, {'trait_type': 'Armor', 'value': 'Nebular Wormhole', 'trait_count': 205}, {'trait_type': 'Mouth', 'value': 'Excited', 'trait_count': 308}, {'trait_type': 'Helmet', 'value': 'Ionic Fizzler', 'trait_count': 275}, {'trait_type': 'Ears', 'value': 'Lunar Squid', 'trait_count': 200}, {'trait_type': 'Eyes', 'value': 'Spectral Auditors', 'trait_count': 273}, {'trait_type': 'Attribute Count', 'value': 7, 'max_value': 7, 'trait_count': 3863}]","{'files': [{'uri': 'https://www.arweave.net/mvrZvgWaI7mJFV60oOKlfj7a1kmZNyB2LGgbiuN-qY8?ext=jpeg', 'type': 'image/jpeg'}], 'category': 'image', 'creators': [{'address': 'FEg3mmpcrcRsVTuc2n3oghHpRvAtEJJau4KWjaPpLKcA', 'share': 0}, {'address': 'N5QXCmRjQaBLR5RjMeTziSaH2ZR852tAzMSmVjptJ3M', 'share': 70}, {'address': '28zYMgLnv9RjVqwK7yhAuDFDYW17cmdfugYFKDf7UUga', 'share': 12}, {'address': 'F8x4gCzXVWuMEskSwHMRPFh7eGtEtgfkQweb7tPNKSG3', 'share': 12}, {'address': '4EjDN8YhcXQ5RXgRv5uTNFWYwkAmxLcdrjdEoQuS23Qq', 'share': 6}]}",False,,1
