,Unnamed: 0,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version,origin_attributes,Background,Body,Face,Costume,Face Gear,Glasses,Headgear,c_att
0,919,6u68JX7jNMbUcWjmkkWghrEpMjh3ZJyZviCLxmn5cSrC,666.0,4uGCh7CsC9kT4x71K9oSBidE3BWpzzUogzfdD3KmkbtM,magnum_ai,Magnum AI,https://www.arweave.net/_Kzevw2p4A9Cuixk8io9vzNCV5lSxHTfR_taEYnV2Wg?ext=png,Magnum #1614,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Retro Red'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Cyborg Glasses'}, {'trait_type': 'Headgear', 'value': 'Super Magnum'}]","{'files': [{'uri': 'https://www.arweave.net/_Kzevw2p4A9Cuixk8io9vzNCV5lSxHTfR_taEYnV2Wg?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Retro Red'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Cyborg Glasses'}, {'trait_type': 'Headgear', 'value': 'Super Magnum'}]",RetroRed,HumanSkin,Face,Leonidas,NoFaceGear,CyborgGlasses,SuperMagnum,Background: RetroRed<br>Body: HumanSkin<br>Face: Face<br>Costume: Leonidas<br>Face Gear: NoFaceGear<br>Glasses: CyborgGlasses<br>Headgear: SuperMagnum<br>
1,2511,2KnyuLAiZ4DWS7Xe2zoPqtFpGtSEsGMGNzgwtJASEt5L,420.0,7TAQsivKJXANxGo6fWRdaZt1qgRrn3isfdP2qvKwVRSV,magnum_ai,Magnum AI,,Magnum #929,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Retro Miami'}, {'trait_type': 'Body', 'value': 'Yakuza'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Supreme'}, {'trait_type': 'Face Gear', 'value': 'Black Beard'}, {'trait_type': 'Glasses', 'value': 'Deal With It'}, {'trait_type': 'Headgear', 'value': 'The Knight'}]","{'files': [{'uri': 'https://www.arweave.net/hwh8S0nJ42JIDx-yiRmGu-3sTr1ICFzOGShYNQCSah0?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,{'moonrank': {'rank': 1162}},4,"[{'trait_type': 'Background', 'value': 'Retro Miami'}, {'trait_type': 'Body', 'value': 'Yakuza'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Supreme'}, {'trait_type': 'Face Gear', 'value': 'Black Beard'}, {'trait_type': 'Glasses', 'value': 'Deal With It'}, {'trait_type': 'Headgear', 'value': 'The Knight'}]",RetroMiami,Yakuza,Face,MagnumSupreme,BlackBeard,DealWithIt,TheKnight,Background: RetroMiami<br>Body: Yakuza<br>Face: Face<br>Costume: MagnumSupreme<br>Face Gear: BlackBeard<br>Glasses: DealWithIt<br>Headgear: TheKnight<br>
2,1558,32uZ2jAW8sYuDyS1wFXnanD7QT9gzU9Xt1ttngqBxR6b,313.0,GBaAWmQrwTJ5fvWNxGWVTXrGP3KQiTZFi8dgCGPh71sK,magnum_ai,Magnum AI,,Kongnum,image,"[{'address': 'HYPJr6AErcnQ4kJj8UVojReNJnY3jH6KpbQFfBL2HDxM', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'B8AsLKTodJRov8JrwCbQbvmZsVRe7etMpqhdyxH1ToA8', 'verified': 0, 'share': 90}]","[{'trait_type': 'Background', 'value': 'Light Pink Scanlines'}, {'trait_type': 'Body', 'value': 'Kongz'}, {'trait_type': 'Costume', 'value': 'Kongz'}, {'trait_type': 'Face', 'value': 'Kongz'}, {'trait_type': 'Glasses', 'value': 'Vipers'}, {'trait_type': 'Face Gear', 'value': 'Kongz'}, {'trait_type': 'Headgear', 'value': 'Banana'}]","{'files': [{'uri': 'https://bafybeibcyejcaqhmwr5j4of6shv4boezutakuwheeklmggaizr6ohmufs4.ipfs.dweb.link/Kongnum.gif?ext=gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'HYPJr6AErcnQ4kJj8UVojReNJnY3jH6KpbQFfBL2HDxM', 'share': 0, 'verified': False}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10, 'verified': False}, {'address': 'B8AsLKTodJRov8JrwCbQbvmZsVRe7etMpqhdyxH1ToA8', 'share': 90, 'verified': False}]}",False,{},2,"[{'trait_type': 'Background', 'value': 'Light Pink Scanlines'}, {'trait_type': 'Body', 'value': 'Kongz'}, {'trait_type': 'Costume', 'value': 'Kongz'}, {'trait_type': 'Face', 'value': 'Kongz'}, {'trait_type': 'Glasses', 'value': 'Vipers'}, {'trait_type': 'Face Gear', 'value': 'Kongz'}, {'trait_type': 'Headgear', 'value': 'Banana'}]",LightPinkScanlines,Kongz,Kongz,Kongz,Vipers,Kongz,Banana,Background: LightPinkScanlines<br>Body: Kongz<br>Face: Kongz<br>Costume: Kongz<br>Face Gear: Vipers<br>Glasses: Kongz<br>Headgear: Banana<br>
3,918,EYvKPfz5wag6qfE5BvyqhJv9teg7JFJ2w1yZp5Hd8ZdQ,200.0,3eXbrSeq4DFbdihZ6kzEmDGYkKbCKsCyxZQMTowi8fXn,magnum_ai,Magnum AI,https://www.arweave.net/V8sgl4x_GLxhPWPkv-_VKft0lXNUcsLmdrCMFnWhbdY?ext=gif,Magnum #3862,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",", {'trait_type': 'Background', 'value': 'none'}, {'trait_type': 'Body', 'value': 'none'}, {'trait_type': 'Face', 'value': 'none'}, {'trait_type': 'Costume', 'value': 'none'}, {'trait_type': 'Face Gear', 'value': 'none'}, {'trait_type': 'Glasses', 'value': 'none'}, {'trait_type': 'Headgear', 'value': 'none'}[{'trait_type': 'WAPNUM', 'value': 'WAP'}]","{'files': [{'uri': 'https://www.arweave.net/V8sgl4x_GLxhPWPkv-_VKft0lXNUcsLmdrCMFnWhbdY?ext=gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'WAPNUM', 'value': 'WAP'}]",none,none,none,none,none,none,nonetrait_typeWAPNUM,Background: none<br>Body: none<br>Face: none<br>Costume: none<br>Face Gear: none<br>Glasses: none<br>Headgear: nonetrait_typeWAPNUM<br>
4,917,5waiGM6WPLCU8vqTL2oifRVZwLAdk577WsgLf3Nqn2Y9,111.0,22qmfs8tyqJ2q89EQJcp5Bt1ugJPXsaBuvfPhELHBgbc,magnum_ai,Magnum AI,https://www.arweave.net/hDHHmVWG4dGpyLw71xFiDcQ3JHsNUX-S7RemrpDY_UI?ext=png,Magnum #534,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'No Signal'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'No Costume'}, {'trait_type': 'Face Gear', 'value': 'Red Beard'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Mini Man'}]","{'files': [{'uri': 'https://www.arweave.net/hDHHmVWG4dGpyLw71xFiDcQ3JHsNUX-S7RemrpDY_UI?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'No Signal'}, {'trait_type': 'Body', 'value': 'Human Skin'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'No Costume'}, {'trait_type': 'Face Gear', 'value': 'Red Beard'}, {'trait_type': 'Glasses', 'value': 'No Glasses'}, {'trait_type': 'Headgear', 'value': 'Mini Man'}]",NoSignal,HumanSkin,Face,NoCostume,RedBeard,NoGlasses,MiniMan,Background: NoSignal<br>Body: HumanSkin<br>Face: Face<br>Costume: NoCostume<br>Face Gear: RedBeard<br>Glasses: NoGlasses<br>Headgear: MiniMan<br>
5,1557,2QdmXk1boRSGmPfeY1iMYtMzt9MefDBbERt3rZcCz48T,100.0,BPzXxguhABGFjSS6QUsmMWmX9wLSc1MC5NNggu64ouKQ,magnum_ai,Magnum AI,,Magnum #2671,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Retro Miami'}, {'trait_type': 'Body', 'value': 'Aztec Warrior'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Pharaoh Top'}, {'trait_type': 'Face Gear', 'value': 'Sharkborg'}, {'trait_type': 'Glasses', 'value': 'Happy Robot'}, {'trait_type': 'Headgear', 'value': 'Pharoh Visor'}]","{'files': [{'uri': 'https://www.arweave.net/DN8s5118UF8zhewdMZybJxXLjTDPqMfahbKAo1H28bM?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,{'moonrank': {'rank': 168}},2,"[{'trait_type': 'Background', 'value': 'Retro Miami'}, {'trait_type': 'Body', 'value': 'Aztec Warrior'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Pharaoh Top'}, {'trait_type': 'Face Gear', 'value': 'Sharkborg'}, {'trait_type': 'Glasses', 'value': 'Happy Robot'}, {'trait_type': 'Headgear', 'value': 'Pharoh Visor'}]",RetroMiami,AztecWarrior,Face,PharaohTop,Sharkborg,HappyRobot,PharohVisor,Background: RetroMiami<br>Body: AztecWarrior<br>Face: Face<br>Costume: PharaohTop<br>Face Gear: Sharkborg<br>Glasses: HappyRobot<br>Headgear: PharohVisor<br>
6,2508,2ezPWoEUgZn2guVda4mT6A984j46QxRasPPJD31bhuZr,100.0,2zxcXx6r9F56gBRsbM41zPRTb7E5rLJdpu3oW8GWqCiG,magnum_ai,Magnum AI,,Magnum #3702,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Outerspace'}, {'trait_type': 'Body', 'value': 'Hologram'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Googly Eyes'}, {'trait_type': 'Headgear', 'value': 'Bushido'}]","{'files': [{'uri': 'https://www.arweave.net/IegZcBX9JqWtV2LzdhcB9xIV76ndf-XtCtQfrJM2UMs?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,{'moonrank': {'rank': 1543}},4,"[{'trait_type': 'Background', 'value': 'Outerspace'}, {'trait_type': 'Body', 'value': 'Hologram'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Magnum Fighter'}, {'trait_type': 'Face Gear', 'value': 'No Face Gear'}, {'trait_type': 'Glasses', 'value': 'Googly Eyes'}, {'trait_type': 'Headgear', 'value': 'Bushido'}]",Outerspace,Hologram,Face,MagnumFighter,NoFaceGear,GooglyEyes,Bushido,Background: Outerspace<br>Body: Hologram<br>Face: Face<br>Costume: MagnumFighter<br>Face Gear: NoFaceGear<br>Glasses: GooglyEyes<br>Headgear: Bushido<br>
7,2509,3BpZBWC1KKUTcRoRTre9VkoRLGA9F7nBaDJCMMVistxB,100.0,H7vn23AL3ZMptGpu9SJQS4CjyQJixfNF69NwqUHiZDX3,magnum_ai,Magnum AI,,NANI,image,"[{'address': 'HYPJr6AErcnQ4kJj8UVojReNJnY3jH6KpbQFfBL2HDxM', 'verified': 1, 'share': 0}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'verified': 0, 'share': 10}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 90}]","[{'trait_type': 'Background', 'value': 'Fist of The North'}, {'trait_type': 'Body', 'value': 'Mad Max'}, {'trait_type': 'Costume', 'value': 'Bandit Sash'}, {'trait_type': 'Face', 'value': 'Surprised Face'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Face Gear', 'value': ""'M' Tattoo""}, {'trait_type': 'Headgear', 'value': 'Baby Mohawk'}]","{'files': [{'uri': 'https://bafybeic7w6y5wnhtft4popsgwsrcb5jrt6iulqerp3lnymstlxhwq2ok6u.ipfs.dweb.link/Nani.gif?ext=gif', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': 'HYPJr6AErcnQ4kJj8UVojReNJnY3jH6KpbQFfBL2HDxM', 'share': 0, 'verified': False}, {'address': 'RRUMF9KYPcvNSmnicNMAFKx5wDYix3wjNa6bA7R6xqA', 'share': 10, 'verified': False}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 90, 'verified': False}]}",False,{},4,"[{'trait_type': 'Background', 'value': 'Fist of The North'}, {'trait_type': 'Body', 'value': 'Mad Max'}, {'trait_type': 'Costume', 'value': 'Bandit Sash'}, {'trait_type': 'Face', 'value': 'Surprised Face'}, {'trait_type': 'Glasses', 'value': 'None'}, {'trait_type': 'Face Gear', 'value': ""'M' Tattoo""}, {'trait_type': 'Headgear', 'value': 'Baby Mohawk'}]",FistofTheNorth,MadMax,BanditSash,SurprisedFace,None,MTattoo,BabyMohawk,Background: FistofTheNorth<br>Body: MadMax<br>Face: BanditSash<br>Costume: SurprisedFace<br>Face Gear: None<br>Glasses: MTattoo<br>Headgear: BabyMohawk<br>
8,2510,GkrPGFCQVMnnsmhykVBLKgXkYpS2FDpQxjmGcRjZXMZN,100.0,5Bz1NpEsDdsPwGPbXhNenoc8d1Bpap7w8nrbvFg4KhoB,magnum_ai,Magnum AI,,Magnuto,image,"[{'address': '9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]",", {'trait_type': 'Background', 'value': 'none'}, {'trait_type': 'Body', 'value': 'none'}, {'trait_type': 'Face', 'value': 'none'}, {'trait_type': 'Costume', 'value': 'none'}, {'trait_type': 'Face Gear', 'value': 'none'}, {'trait_type': 'Glasses', 'value': 'none'}, {'trait_type': 'Headgear', 'value': 'none'}[]","{'files': [{'uri': 'https://ipfs.io/ipfs/bafybeidmxhz2lcmwccnz346k2u76zopc64uffmakscmvgrb2ijyic74cem', 'type': 'image/gif'}], 'category': 'image', 'creators': [{'address': '9tqDoTaTnM1VVDgcvSGs9NvbvJtWUNHb4BsSagxaeoSJ', 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,{'moonrank': {'rank': 5}},4,[],none,none,none,none,none,none,none,Background: none<br>Body: none<br>Face: none<br>Costume: none<br>Face Gear: none<br>Glasses: none<br>Headgear: none<br>
9,2507,AzRAJjSDS1mjR5wo8eW9MFzu1uwi4gs9j8pcK8pwkvBx,99.0,CAczwtsm5donE8J8HCnohm9FfT2kpCURHvZz1Q8LMwdw,magnum_ai,Magnum AI,,Magnum #3542,image,"[{'address': '5PUfY4iz9udwGTLbQaAH845NHCHDAfnqfoGaa8uPYm7', 'verified': 1, 'share': 0}, {'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Mechanical'}, {'trait_type': 'Body', 'value': 'Flower Power'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'Rebreather Cyborg'}, {'trait_type': 'Glasses', 'value': 'Pink Paradise'}, {'trait_type': 'Headgear', 'value': 'Blonde Afro'}]","{'files': [{'uri': 'https://www.arweave.net/vCqgPT-si_q1MdFKQLAZrowPIywmUlaQKknsMwkiiHA?ext=png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'Fw2ZMHRKhjv92vBDuRWt3KmbBbjhsXWLsTP9BjToudcx', 'share': 100}]}",False,{'moonrank': {'rank': 243}},4,"[{'trait_type': 'Background', 'value': 'Mechanical'}, {'trait_type': 'Body', 'value': 'Flower Power'}, {'trait_type': 'Face', 'value': 'Face'}, {'trait_type': 'Costume', 'value': 'Leonidas'}, {'trait_type': 'Face Gear', 'value': 'Rebreather Cyborg'}, {'trait_type': 'Glasses', 'value': 'Pink Paradise'}, {'trait_type': 'Headgear', 'value': 'Blonde Afro'}]",Mechanical,FlowerPower,Face,Leonidas,RebreatherCyborg,PinkParadise,BlondeAfro,Background: Mechanical<br>Body: FlowerPower<br>Face: Face<br>Costume: Leonidas<br>Face Gear: RebreatherCyborg<br>Glasses: PinkParadise<br>Headgear: BlondeAfro<br>
