,Unnamed: 0,id,price,owner,collectionName,collectionTitle,img,title,propertyCategory,creators,attributes,properties,tokenDelegateValid,rarity,version,origin_attributes,Background,Body,Clothes,Eyes,Head,Mouth,c_att
0,741,9oN97cHobD88LXyJ1r6u3pfN3i3z5uCYz2CiDqy4BZvs,1111.0,AB9im7U5Jiwio5KWQpY6Uo6wyHGxHcNtbS4kuerhMrgH,monkelabs_dao,MonkeLabs DAO,https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8f537fd9aebe9b33da17b6cd27a08f59.png,Monke #5463,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Alien'}, {'trait_type': 'Clothes', 'value': 'Hazmat'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8f537fd9aebe9b33da17b6cd27a08f59.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,,1,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Alien'}, {'trait_type': 'Clothes', 'value': 'Hazmat'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Line'}]",Green,Alien,Hazmat,Glasses,None,Line,Background: Green<br>Body: Alien<br>Clothes: Hazmat<br>Costume: Glasses<br>Head: None<br>Mouth: Line<br>
1,1411,E5G1TXkthp6JwDC6cGtb1t6AkpauP1zCaqHttDQLovrB,1001.9,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #387,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Open'}, {'trait_type': 'Eyes', 'value': 'Rainbow Visor'}, {'trait_type': 'Head', 'value': 'Einstein'}, {'trait_type': 'Mouth', 'value': 'Dot'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/bcdc07afb84d51cb9f0d495b6fc4f262.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 1454}},2,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Open'}, {'trait_type': 'Eyes', 'value': 'Rainbow Visor'}, {'trait_type': 'Head', 'value': 'Einstein'}, {'trait_type': 'Mouth', 'value': 'Dot'}]",Blue,Blue,LabCoatOpen,RainbowVisor,Einstein,Dot,Background: Blue<br>Body: Blue<br>Clothes: LabCoatOpen<br>Costume: RainbowVisor<br>Head: Einstein<br>Mouth: Dot<br>
2,1410,BEURnWQeLJQDE8Zq66KBHR98Vrfwj8YB5sogZ5vUKCXL,1001.8,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #5392,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Math'}, {'trait_type': 'Mouth', 'value': 'Smile'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/883ce2f00d4c06f63596d02d62cec6bc.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 4717}},2,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Math'}, {'trait_type': 'Mouth', 'value': 'Smile'}]",Blue,Blue,None,Glasses,Math,Smile,Background: Blue<br>Body: Blue<br>Clothes: None<br>Costume: Glasses<br>Head: Math<br>Mouth: Smile<br>
3,2049,AFUfKumwr9KsiPV7pvp5Du2rthx9GgAYJxbCJBzvM25M,1001.8,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #5277,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Computer Off'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/e4aeb411be0e0121af487d5554ef516f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 3542}},3,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Computer Off'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]",Red,Orangutan,None,Goggles,ComputerOff,Thoughtful,Background: Red<br>Body: Orangutan<br>Clothes: None<br>Costume: Goggles<br>Head: ComputerOff<br>Mouth: Thoughtful<br>
4,1409,AFUfKumwr9KsiPV7pvp5Du2rthx9GgAYJxbCJBzvM25M,1001.7,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #5277,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Computer Off'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/e4aeb411be0e0121af487d5554ef516f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 3542}},2,"[{'trait_type': 'Background', 'value': 'Red'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Computer Off'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]",Red,Orangutan,None,Goggles,ComputerOff,Thoughtful,Background: Red<br>Body: Orangutan<br>Clothes: None<br>Costume: Goggles<br>Head: ComputerOff<br>Mouth: Thoughtful<br>
5,2048,DFNPwAynusAHGb2fZAbXKwpWCJpAWUrNyeXvHQr5VSQg,1001.7,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #2172,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Open'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Diamond'}, {'trait_type': 'Mouth', 'value': 'Open'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/8c230f532eb92e62db041da7e0fb1c51.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 4051}},3,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Lab Coat Open'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'Diamond'}, {'trait_type': 'Mouth', 'value': 'Open'}]",Yellow,Brown,LabCoatOpen,Goggles,Diamond,Open,Background: Yellow<br>Body: Brown<br>Clothes: LabCoatOpen<br>Costume: Goggles<br>Head: Diamond<br>Mouth: Open<br>
6,1408,He4ptTyxacBSzvKfqqzQtK4g5aim2XmpxxMgr6uibpn2,1001.6,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #3859,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'Emperor'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/5923f4da9be0acd388b91b324726f4c3.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 4661}},2,"[{'trait_type': 'Background', 'value': 'Green'}, {'trait_type': 'Body', 'value': 'Orangutan'}, {'trait_type': 'Clothes', 'value': 'Emperor'}, {'trait_type': 'Eyes', 'value': 'Goggles'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]",Green,Orangutan,Emperor,Goggles,None,Thoughtful,Background: Green<br>Body: Orangutan<br>Clothes: Emperor<br>Costume: Goggles<br>Head: None<br>Mouth: Thoughtful<br>
7,2047,2NhWZeSztzG6dSdvVdW467z76GoEaZWJTrLJXaegL9e3,1001.6,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #2394,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Potion'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/d36f51871ad376002820caab3e4d4991.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 4622}},3,"[{'trait_type': 'Background', 'value': 'Blue'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Clothes', 'value': 'None'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Potion'}, {'trait_type': 'Mouth', 'value': 'Thoughtful'}]",Blue,Green,None,Glasses,Potion,Thoughtful,Background: Blue<br>Body: Green<br>Clothes: None<br>Costume: Glasses<br>Head: Potion<br>Mouth: Thoughtful<br>
8,1407,GFQrDyuegTPXFAttCQYzetjqFqdhar5Q8c4BgUMnaXrH,1001.5,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #3734,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Clothes', 'value': 'Hazmat'}, {'trait_type': 'Eyes', 'value': 'Tracker'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Line'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/9d03cc5fc320899e33d5bb59bb9611ca.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 3889}},2,"[{'trait_type': 'Background', 'value': 'Purple'}, {'trait_type': 'Body', 'value': 'Green'}, {'trait_type': 'Clothes', 'value': 'Hazmat'}, {'trait_type': 'Eyes', 'value': 'Tracker'}, {'trait_type': 'Head', 'value': 'None'}, {'trait_type': 'Mouth', 'value': 'Line'}]",Purple,Green,Hazmat,Tracker,None,Line,Background: Purple<br>Body: Green<br>Clothes: Hazmat<br>Costume: Tracker<br>Head: None<br>Mouth: Line<br>
9,1406,3vdYvHMc9BS4def45AgSEeJ8ji3hCJ2vM933hWaW8VXq,1001.4,DVHTiMeP1j6BSNHtX19Eb6Qu8ivipR9BLqRyCTvpK435,monkelabs_dao,MonkeLabs DAO,,LabMonke #2406,image,"[{'address': '6o6W627BcWGMKQFZC2ryG3CS5ASqNSsF6oAvdrvSRgak', 'verified': 1, 'share': 0}, {'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'verified': 0, 'share': 100}]","[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Bowtie'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Battery'}, {'trait_type': 'Mouth', 'value': 'Dot'}]","{'files': [{'uri': 'https://monkelabs.nyc3.digitaloceanspaces.com/labmonke2/images/810c5c5c9bda0b502047060dec70013f.png', 'type': 'image/png'}], 'category': 'image', 'creators': [{'address': 'daoHxo3miccKNu6LvTjZeA1JzqapBTwe6zRH5mvTyTF', 'share': 100}]}",False,{'moonrank': {'rank': 4288}},2,"[{'trait_type': 'Background', 'value': 'Yellow'}, {'trait_type': 'Body', 'value': 'Brown'}, {'trait_type': 'Clothes', 'value': 'Bowtie'}, {'trait_type': 'Eyes', 'value': 'Glasses'}, {'trait_type': 'Head', 'value': 'Battery'}, {'trait_type': 'Mouth', 'value': 'Dot'}]",Yellow,Brown,Bowtie,Glasses,Battery,Dot,Background: Yellow<br>Body: Brown<br>Clothes: Bowtie<br>Costume: Glasses<br>Head: Battery<br>Mouth: Dot<br>
